Date,Open,High,Low,Close,Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d
31/01/14,41008.62891,41008.62891,40579.10938,40879.75,227508000,13.34514,-0.000700887,-0.003681375,-0.007681926,0.1841,0.0112,0.0027,0.037761,3.50E-05,0.000116,-0.000189
04/02/14,40881.12109,40881.12109,40031.64844,40085.51953,235269700,13.31065,-0.015770564,-0.002584461,0.010127341,0.1911,-0.0233,0.0331,0.037705,-5.60E-05,5.50E-05,-0.00022
05/02/14,40099.39063,40438.26953,39733.30078,39880.87109,256301000,13.26552,-0.003390518,-0.019107611,-0.009625629,0.1995,0.0084,0.026,0.037755,5.00E-05,0.000105,-0.000207
06/02/14,39881.51953,40464.39063,39866.35938,40288.78125,255165600,13.25636,-0.000690512,-0.004078689,-0.007348834,0.1723,-0.0272,-0.0006,0.037643,-0.000112,-7.00E-06,-0.000351
07/02/14,40272.30859,40576.73828,40075.39063,40525.73828,240161700,13.25953,0.000239131,-0.000451547,-0.006415069,0.1529,-0.0194,-0.0312,0.037671,2.80E-05,-5.50E-05,-0.000334
10/02/14,40533.85938,40545.07813,40074.67188,40116.35938,159727800,13.30737,0.003607971,0.003847964,-0.016013097,0.1526,-0.0003,-0.0618,0.037815,0.000144,5.40E-05,-0.000112
11/02/14,40116.62891,40939.64063,40116.62891,40759.62109,201556500,13.28887,-0.001390207,0.002212748,-0.001636284,0.1451,-0.0075,-0.046,0.03784,2.50E-05,0.000135,-0.000105
12/02/14,40765.35938,40958.64844,40436.82031,40690.05859,208818000,13.3149,0.001958782,0.000565852,0.003722432,0.143,-0.0021,-0.0565,0.037778,-6.20E-05,2.30E-05,-0.000194
13/02/14,40690.05859,40703.78906,40263.16016,40308.96094,171797000,13.256,-0.004423616,-0.002473498,-0.0000272,0.1414,-0.0016,-0.0309,0.03789,0.000112,0.000247,-4.30E-05
14/02/14,40316.89063,40896.5,40199.60938,40710.89063,176100900,13.23371,-0.001681503,-0.00609768,-0.001947279,0.1357,-0.0057,-0.0172,0.037915,2.50E-05,0.000244,7.20E-05
17/02/14,40710.89063,40803.75,40687.07813,40735.48047,40886800,13.19281,-0.003090592,-0.004766898,-0.008608763,0.1357, -   ,-0.0169,0.037872,-4.30E-05,5.70E-05,4.70E-05
18/02/14,40733.60156,40830.98828,40421.69141,40421.85938,179831300,13.2373,0.003372291,0.000271277,-0.003880691,0.1387,0.003,-0.0064,0.03795,7.80E-05,0.00011,0.000285
19/02/14,40426.23828,40518.10938,39755.44141,40006.42188,222345600,13.32156,0.006365346,0.009759104,0.000500192,0.155,0.0163,0.012,0.038025,7.50E-05,0.000247,0.00041
20/02/14,39993.30859,40013.41016,39566.62109,39654.23047,224907800,13.2736,-0.003600179,0.002742251,0.001327701,0.1479,-0.0071,0.0065,0.03793,-9.50E-05,4.00E-05,0.00026
21/02/14,39672.55859,39975.62891,39650,39724.57813,155521300,13.25746,-0.001215947,-0.004811749,0.001794659,0.1468,-0.0011,0.0111,0.037935,5.00E-06,2.00E-05,0.000164
24/02/14,39726.41016,40163.32031,39707.62891,39792.71094,191064700,13.24858,-0.000669812,-0.001884945,0.004227303,0.1423,-0.0045,0.0066,0.037975,4.00E-05,0.000103,0.00033
